Date,Close,High,Low,Open,Volume
,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS
2023-10-04,194.60205078125,202.31122439012995,192.46787690675717,200.5690394653495,15548752
2023-10-05,193.3825225830078,196.51846069837754,191.68389497543916,196.08291447634372,10155103
2023-10-06,193.9922637939453,195.21180105970856,192.38075092064256,193.94870651805834,5523734
2023-10-09,190.72567749023438,192.68563538169062,189.331937631399,191.59676988643713,5142409
2023-10-10,193.51318359375,195.12470995249478,190.46436000074226,190.94346350943525,5621177
2023-10-11,198.30418395996094,200.30769918294683,193.51317565325425,193.73094875810455,12216514
2023-10-12,197.04110717773438,198.3041885567821,196.2135720184835,196.86689134817877,7239091
2023-10-13,197.04110717773438,199.82860032607107,195.8215830790295,195.99579890858507,7221397
2023-10-16,200.22061157226562,202.70321716179743,195.38604565648123,197.56377685351777,10185425
2023-10-17,200.30770874023438,201.7014619945027,199.48017356068212,200.56903913688672,5064750
2023-10-18,200.7867889404297,202.52897366008634,198.87038840717028,200.43835731322417,5784720
2023-10-19,197.86863708496094,201.17879092591883,197.3024323309801,199.48016337216092,4657398
2023-10-20,194.0358428955078,200.1334900347606,193.6438539520619,197.47665540858014,5244069
2023-10-23,187.3284454345703,196.17002902357947,186.84934189954146,194.03585504952383,7384814
2023-10-25,188.85284423828125,191.55322283559832,186.67511313150175,187.28487518303686,6955789
2023-10-26,184.8893585205078,187.93818186478003,183.97470885886315,187.76396604632745,7706350
2023-10-27,187.98175048828125,189.28838914326212,185.76046211645058,186.2831228951692,4623399
2023-10-30,188.54795837402344,189.02706188047077,186.8057734718993,187.93819631664317,2745365
2023-10-31,188.6786346435547,190.0723746228644,186.80577785474063,189.81104422305123,3233237
2023-11-01,194.90692138671875,197.65085708616334,188.41728576874183,189.02704778063898,11714180
2023-11-02,199.61083984375,200.69970546212483,195.2553773702506,195.2553773702506,7719938
2023-11-03,202.7467498779297,205.27291244367854,201.39655404100264,201.39655404100264,9794909
2023-11-06,203.05166625976562,205.9698181480784,200.69970588565934,202.7467785692506,7768055
2023-11-07,207.1022186279297,208.10396957375718,203.05164427433033,203.05164427433033,8362338
2023-11-08,206.57957458496094,208.88797761271556,205.66493812207506,208.10398641219243,5322427
2023-11-09,204.8809356689453,207.58132750274066,204.05340052369047,206.44890469205825,3824543
2023-11-10,213.63540649414062,214.28872578005544,203.74850265057066,203.83561720541857,17676902
2023-11-13,210.76080322265625,213.15630731925805,210.28169974497288,212.98209149786823,4210127
2023-11-15,209.1492919921875,214.07095876924046,206.92800369857903,211.67545465279932,6420011
2023-11-16,208.01687622070312,210.54303896650106,204.1405175417446,209.93327692011698,6844037
2023-11-17,208.6266326904297,212.5029912657719,207.3199940723268,207.3199940723268,9273728
2023-11-20,208.67019653320312,210.2381655826108,207.36355787399938,208.3653088626626,4219360
2023-11-21,209.32350158691406,211.2834594420503,208.67018230186864,210.41236706198976,4018369
2023-11-22,205.8826904296875,209.19283085792057,203.79206073142905,209.06217231694845,5432510
2023-11-23,203.96627807617188,206.75378436137396,203.1823002408432,206.05690779007344,3977608
2023-11-24,202.2676544189453,205.14226202285153,201.3094607455201,204.48894271704626,3866099
2023-11-28,204.18405151367188,204.7067122659706,202.006320532119,204.7067122659706,7469037
2023-11-29,203.35653686523438,206.18758742617544,201.78856774234987,205.05516454343572,7774049
2023-11-30,203.26942443847656,204.6196070753849,201.00457879727395,203.748514642894,19036194
2023-12-01,208.53952026367188,210.80436587492204,203.4436375760823,204.53250310229572,9817732
2023-12-04,210.71725463867188,212.98210028563395,208.62663811210362,212.98210028563395,12552937
2023-12-05,211.15281677246094,214.98563174916987,208.19110758793664,210.9786009307507,10005319
2023-12-06,217.29400634765625,219.68951055598077,209.7590620636527,212.5465552113399,17430210
2023-12-07,216.7713623046875,218.86197887572925,213.809639988593,218.60064848139504,6937185
2023-12-08,213.24342346191406,221.25747093178904,210.36881586624824,217.55532820950518,13224817
2023-12-11,216.510009765625,217.55531794423135,212.80786721802548,215.29047248073874,5346227
2023-12-12,214.8549346923828,218.94907959724307,213.9838422942109,216.90200714481293,5675356
2023-12-13,220.69126892089844,222.82544268183761,212.24166185184131,215.33404258715257,15557190
2023-12-14,221.82369995117188,224.74186514477844,216.72781679797913,222.82546430190723,18271383
2023-12-15,224.0449981689453,226.35338794152295,222.69478886464415,225.22095175885428,17235864
2023-12-18,227.09381103515625,229.53285924759834,223.78364379412,226.48403569022986,12388584
2023-12-19,228.31333923339844,232.05902618041748,225.83072040403363,231.92836762805769,17762921
2023-12-20,219.03619384765625,229.96840675119958,218.4699890720028,229.8812921894917,15309407
2023-12-21,222.9561004638672,223.78363559790932,216.98912540950818,218.64419567759248,10812029
2023-12-22,226.26626586914062,227.6600191180735,224.48053696445396,226.04849275473336,9677532
2023-12-26,227.9648895263672,229.01018444616045,226.0920196174311,228.22620661040798,12322864
2023-12-27,229.5106964111328,231.32932320955706,228.05580329740621,229.05603971152675,10673963
2023-12-28,234.19366455078125,235.83044538706824,230.05629951330653,230.05629951330653,15441735
2023-12-29,235.10296630859375,235.96682513066906,231.0565383658197,232.78422825992786,9136816
2024-01-01,233.8299560546875,236.69428796940642,232.78425110170062,235.10298937789088,6352734
2024-01-02,234.7392578125,235.8758996068178,230.14723606347368,234.1482096294635,5803881
2024-01-03,239.8768768310547,243.01401933123233,232.64785155897346,235.0575266496672,22285124
2024-01-04,242.01376342773438,246.10567385568797,241.28632378500453,245.5146256772145,10745140
2024-01-05,241.74098205566406,246.65126905081436,239.24037011137008,242.01376498593316,12327980
2024-01-08,235.01206970214844,243.33228212934802,234.42099376602744,241.7409836091169,7890414
2024-01-09,236.7852325439453,240.4224865853271,232.46599336980444,238.14920280946347,10284498
2024-01-10,242.8321533203125,243.87788602056722,229.10152812071647,232.4659852159805,19849401
2024-01-11,249.6974639892578,250.97049719312747,242.37747450443268,244.24158361549416,24108269
2024-01-12,247.83335876464844,250.06118771888848,245.69649445144873,249.69746790494233,10048702
2024-01-15,248.2425537109375,250.0611804780506,245.2418306452178,249.15186709449407,9881531
2024-01-16,248.42445373535156,252.83460191152835,244.92359128876114,251.8798338579333,12507371
2024-01-17,240.83168029785156,247.742468283517,239.69503844988176,245.9238413267653,10649774
2024-01-18,243.2867889404297,244.51436757978453,234.60285707507109,241.42270757143942,9930238
2024-01-19,242.2865753173828,245.2418439745659,241.7864362792179,243.83239150342158,4537034
2024-01-23,229.2833709716797,242.78668067138915,227.9194008555483,242.65028920978463,8740319
2024-01-24,238.740234375,239.4222194601505,230.1472389521302,231.69306903680027,6563186
2024-01-25,239.69503784179688,242.60482431519063,237.0125519873753,240.3770229488486,5195068
2024-01-29,243.51414489746094,244.74172367598615,236.8761674284666,239.83143631193116,11648515
2024-01-30,242.10470581054688,246.69672762825036,241.19539236149316,243.83239581374005,6620878
2024-01-31,249.0155029296875,251.78889795348906,241.65005816559994,242.60482622296237,9537630
2024-02-01,244.15066528320312,251.42517300113843,241.01352272982567,250.4704049631773,7974578
2024-02-02,247.83335876464844,251.6979407566676,244.37797890709555,245.69649445144873,9665486
2024-02-05,248.78817749023438,254.4713868273192,246.9240681776432,248.1061923697842,10619393
2024-02-06,257.3357238769531,258.6996941448522,245.3782567450474,248.8791193159975,11559491
2024-02-07,256.6991882324219,259.92726778585046,252.4254314610448,259.15434576601285,7603119
2024-02-08,253.334716796875,259.60897365750316,251.5160900111832,258.2450035682343,6966850
2024-02-09,249.4701690673828,255.0169870739475,244.0597425384291,253.69847137360023,4627489
2024-02-12,243.83238220214844,255.56251949011428,241.01350511743289,251.8343567571488,6191878
2024-02-13,245.0599822998047,246.4239525166867,237.05803479411483,243.28680991784,4469509
2024-02-14,254.28948974609375,256.97197540761107,240.55885169484736,244.60530747238167,11916664
2024-02-15,243.6505584716797,258.24502874996045,242.78669956422337,256.9265131017471,108103036
2024-02-16,242.6048126220703,247.33325356974467,241.05899643728563,244.83264163107998,16394886
2024-02-19,245.65103149414062,248.42445426293384,242.87763647539262,244.5143896421873,10944899
2024-02-20,245.65103149414062,247.51514078137117,243.78694995695528,246.3330166053126,9025475
2024-02-21,245.51461791992188,251.3342181280152,244.15064782036677,248.24255811903214,12329064
2024-02-22,246.8785858154297,248.19710133324548,242.87761244246252,247.24230562205534,6661898
2024-02-23,244.0142822265625,247.51514473652963,243.69601695292084,247.33327093729278,5955886
2024-02-26,241.1953887939453,244.55985960569743,240.10420157120305,244.55985960569743,4923166
2024-02-27,239.9678192138672,243.69600999135585,238.78572280273303,242.5139135802217,5033046
2024-02-28,239.10397338867188,247.60603161228792,237.8309124086255,244.1506517379873,17579831
2024-02-29,243.74147033691406,245.4237058464767,237.14894752244751,239.2403852032711,9404521
2024-03-01,247.15138244628906,248.15163278254118,239.69502887159246,241.05899903465155,12244554
2024-03-04,251.2887725830078,253.69844762875607,248.01523867649897,248.28802160618983,10443351
2024-03-05,259.7908630371094,262.24599269520377,249.69747822038119,252.3344816679837,19847512
2024-03-06,256.8355712890625,263.0188910769393,250.061175613339,260.5182793208059,13944430
2024-03-07,257.1993103027344,261.33667532654545,255.56252947185288,257.9722322714803,9134995
2024-03-11,250.37945556640625,257.199306211487,249.15187690028304,257.199306211487,6214148
2024-03-12,245.78741455078125,251.69795197856592,243.24134798959943,250.9705123182409,7220451
2024-03-13,229.05604553222656,245.9692807373745,226.8736988686689,244.15065389273587,15451474
2024-03-14,236.55787658691406,237.7854552327706,228.78325807989415,228.96511798575625,10335603
2024-03-15,241.05899047851562,241.87736699729487,232.01131095134397,236.55787800016532,17681404
2024-03-18,246.4694061279297,248.1971239292684,238.46745865349303,240.9680707080101,7234156
2024-03-19,242.4684295654297,249.8338741720111,241.51366152848445,245.5146352190828,5908875
2024-03-20,243.3777313232422,245.42368651832837,238.05824226600947,243.69599657026427,4421057
2024-03-21,248.60629272460938,249.33376013769268,245.65102399969163,246.42394598544823,5477627
2024-03-22,246.514892578125,249.51561599375708,245.42370529059764,248.2425826583388,9338889
2024-03-26,244.19613647460938,248.06071896275745,243.10497689268962,247.15140543613438,10405333
2024-03-27,246.96954345703125,249.37921859720495,243.4686810552475,245.42369946142446,5949040
2024-03-28,247.01499938964844,250.06120507419766,246.19662281396006,247.33326465520642,6625066
2024-04-01,261.4275817871094,262.10956678307576,248.56080374655193,248.6971951957371,17331916
2024-04-02,273.97613525390625,274.56721120478846,259.92725890304314,260.9275092621769,27928247
2024-04-03,271.7028503417969,280.0685452613083,270.79353688315626,273.88522484257,19966252
2024-04-04,281.8416748046875,284.1604126720755,274.3398399101447,278.2953306545077,24723528
2024-04-05,290.0255432128906,293.16265804362683,278.20446806798594,282.8419445786434,22256365
2024-04-08,293.98101806640625,295.84512723047857,288.34329150321906,294.52661166930653,16694867
2024-04-09,307.3479309082031,308.7119010157839,291.5258832102746,294.7084801279631,32086038
2024-04-10,328.9895935058594,336.1277096035634,314.3496692322777,315.5317656114962,75804480
2024-04-12,339.1284484863281,340.90159299169386,328.0802683180843,332.3995070299357,39995547
2024-04-15,336.94610595703125,349.13092904376185,327.5801880172773,340.0832486286238,44715399
2024-04-16,343.9023742675781,346.90309769546303,331.0355661372906,336.5369294218069,28859435
2024-04-18,353.26824951171875,358.9514581589472,348.3124804713187,350.1311072384318,35907412
2024-04-19,350.94952392578125,360.77009771634107,347.53959861655306,352.99547911131816,33307212
2024-04-22,346.44842529296875,357.4965781873419,339.53763750614473,356.58726473512945,19626373
2024-04-23,342.8565979003906,348.44889737227817,337.4461999540694,348.44889737227817,14434838
2024-04-24,348.67626953125,351.5406014804152,341.90187291731166,341.90187291731166,11074253
2024-04-25,346.493896484375,352.5408534316526,342.9021248258908,345.53912841377627,10150138
2024-04-26,360.5882568359375,366.40788542808133,350.9950105239665,351.8133871228475,24602811
2024-04-29,369.45404052734375,371.1817582678466,361.0883735077376,364.771081849243,11228541
2024-04-30,361.7703857421875,372.77308477045574,360.08815019756844,372.0001627364366,11863519
2024-05-02,373.5459289550781,376.3648060098841,361.27019820837955,363.7253554577362,12788526
2024-05-03,377.95611572265625,381.91163463134666,367.72633979503087,377.3650675524021,14324148
2024-05-06,373.2731628417969,380.7295440643545,367.771827692867,380.0930135636324,8108475
2024-05-07,360.0881042480469,374.1824618638164,356.4508506697838,373.27314846925066,8797213
2024-05-08,368.13555908203125,372.7730632686051,357.2237975842314,357.36018905294503,8831897
2024-05-09,358.8605651855469,371.3636257394906,357.36020346908276,369.90871859774984,6134997
2024-05-10,373.45501708984375,374.5007219291421,359.4061142378356,360.99741265634594,11076423
2024-05-13,376.5011901855469,377.8197056735942,361.9976585672355,375.1372201289635,10884162
2024-05-14,393.32354736328125,398.733973843849,377.4105609499007,382.8209874304685,22195946
2024-05-15,397.73370361328125,408.2817453459472,395.3240284836315,398.2792972417035,20115791
2024-05-16,393.7781982421875,406.5085871829354,388.32231726758124,404.6445056166299,16155897
2024-05-17,402.5075988769531,404.6444910651714,393.3690096731396,396.4606698975612,13366917
2024-05-21,447.10943603515625,449.1099089821549,421.01212882849126,428.28663645403753,34592201
2024-05-22,442.83563232421875,460.7945722388046,433.5606244075546,452.83807987158303,33932802
2024-05-23,429.8324890136719,436.56140315175475,419.92094997577084,436.4704662546094,25849836
2024-05-24,428.99456787109375,437.5595751751681,427.87741153438077,431.8806047938485,12873214
2024-05-27,427.97052001953125,436.163113562962,425.31722752052843,430.01865419979464,11775106
2024-05-28,423.5483703613281,439.3284273557112,422.0122342301469,430.949626979908,17930755
2024-05-29,422.89666748046875,430.3910274384323,420.0106306057392,422.4777161041802,11526945
2024-05-30,410.375,426.38782941227214,407.02350267243435,422.66391823836585,13122990
2024-05-31,418.94000244140625,424.38622815538196,409.630224609375,415.96086217068137,35126841
2024-06-03,426.2481994628906,439.607736827453,421.1743589925847,439.42152989946095,14471274
2024-06-04,389.00909423828125,426.3878486506352,341.0171697724844,426.3878486506352,30797125
2024-06-05,410.2819519042969,415.2161231694128,373.9272496338936,390.0797210941344,16642007
2024-06-06,418.846923828125,426.3878500016585,415.4953979275336,419.87100513263755,13579110
2024-06-07,428.85491943359375,430.9961854280247,420.6623261285382,423.0363081626203,11283521
2024-06-10,413.4472351074219,424.0603760485736,410.7939427693372,424.0603760485736,13920775
2024-06-11,413.12139892578125,424.33967005607946,411.77146975073174,413.35414337588026,10546091
2024-06-12,413.5869140625,422.33810025913095,412.0508062766386,416.3798476408624,11163309
2024-06-13,409.44403076171875,418.89347829189904,408.69925987585077,418.00903800514124,11641274
2024-06-14,416.7056884765625,420.7088818395569,409.63025118298225,410.65433249317755,9634670
2024-06-18,421.0812683105469,423.40871292515567,416.70568948179584,418.8934931017659,8601634
